Fakultät	Veranstaltungstitel	Bisonlink	Veranstaltungsart	SWS	Sprache	Tag	Personen
Fakultät Bauingenieurwesen	Baubetrieb, Bauverfahren und Arbeitsschutz	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=46859&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	5	deutsch	Fr.	Fakultät Bauingenieurwesen,Hans-Joachim Bargstädt :3 S: Fakultät Bauingenieurwesen,Sebastian Seiß :3 S: Fakultät Bauingenieurwesen,Birgit Bode
Fakultät Architektur und Urbanistik	Einführungskurs	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=46821&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Blockveranstaltung	2	deutsch	missing	Fakultät Architektur und Urbanistik,Martin Schmidt :3 S: Fakultät Architektur und Urbanistik,Hagen Höllering :3 S: Fakultät Architektur und Urbanistik,Roy Müller :3 S: Fakultät Architektur und Urbanistik,Sabine Zierold :3 S: Fakultät Architektur und Urbanistik,Luise Nerlich :3 S: Fakultät Architektur und Urbanistik,Martin Ahner :3 S: Fakultät Architektur und Urbanistik,Julia Heinemann
Fakultät Kunst und Gestaltung	Physical Computing in the Wild	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48172&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Fachmodul	4	englisch	Do.	Fakultät Kunst und Gestaltung,Brian Clark :3 S: Fakultät Kunst und Gestaltung,keine öffentliche Person
Fakultät Architektur und Urbanistik	Thesis Gebäudelehre/ Raumgestaltung	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=49930&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Präsentation	missing	missing	Fr.	missing
missing	VKBA	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48526&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Sonstige Veranstaltung	missing	missing	Fr.	missing,keine öffentliche Person
Fakultät Architektur und Urbanistik	perma.change – performative Architektonik_Part 1	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48290&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	missing	Fakultät Architektur und Urbanistik,Luise Nerlich
Fakultät Architektur und Urbanistik	Gebäudetechnik	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=49632&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Fr.	missing
Fakultät Medien	Software Engineering (M.Sc.) repeat exam	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48808&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Mo.	Fakultät Kunst und Gestaltung,Nicolai Ruckel
Fakultät Bauingenieurwesen	Prüfung: Mathematik III - Stochastik	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=47968&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Fr.	Fakultät Bauingenieurwesen,Reinhard Illge
Fakultät Bauingenieurwesen	Prüfung: Risiko- und Chancenmanagement (Wdh.)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=49509&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	deutsch	Fr.	Fakultät Bauingenieurwesen,Hans-Joachim Bargstädt :3 S: Fakultät Bauingenieurwesen,Martina Mellenthin Filardo :3 S: Fakultät Bauingenieurwesen,Birgit Bode
